,ID,Titel,Autor,Strophen,Verse,Anthologie,Jahr,Hrsg,ID.1,Epoche,dtm_Ivis_1,dtm_Ivis_2,dtm_Ivis_balladen_sup_1,dtm_Ivis_balladen_sup_2,sonett,dtm_Ivis_sonett_1,dtm_Ivis_sonett_2,bert_Ivis_sonett_1,bert_Ivis_sonett_2,bert_Ivis_sonett_sup_1,bert_Ivis_sonett_sup_2,bert_Ivis_1,bert_Ivis_2,bert_Ivis_sup_1,bert_Ivis_sup_2,dtm_Ivis_sup_1,dtm_Ivis_sup_2
765,l00110036,Heimwehlied,"Bethge, Hans",4,1,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",1904,"Benzmann, Hans",l00110036,Moderne,2.8373702,-2.290331,-4.0971923,1.3285911,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-0.33159328,2.9994447,0.4474502,-1.9467216,0.19935127,2.6825843
3272,l0030188,Herbstlied.,Ludwig Tieck.,4,6,Dichtergrüsse. Neuere deutsche Lyrik,1861,"Polko, Elise",l0030188,Realismus,1.7397901000000002,-0.29583275,-4.694864,0.89475256,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-2.9263542,2.757813,-2.044518,-0.9727911,-1.4772973999999999,0.6147100999999999
4284,l0050009,Herbstlied.,Ludwig Tieck.,4,6,Blüthenzweige deutscher Lyrik nach Goethe,1875,"Willatzen, Peter Johann",l0050009,Realismus,1.7358592000000002,-0.3374417,-4.617233799999998,0.92012393,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-3.5012412000000004,3.0754224999999997,-2.3588817000000004,-1.3263811,-1.4637784,0.6801885
7,l00100009,Herbststimmung,"Benzmann, Hans",7,1,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",1898,"Gemmel, Ludwig",l00100009,Moderne,-1.1198447,-0.005005196,-2.3457484,1.539565,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,2.6416936,0.92495006,3.0661776,-0.5560604,1.2537086000000002,1.0280030999999998
757,l00110028,Herbststimmung,"Benzmann, Hans",7,1,"Moderne Deutsche Lyrik. Mit einer literargeschichtlichen Einleitung und biographischen Notizen, hrsg. von Hans Benzmann. Leipzig 1904.",1904,"Benzmann, Hans",l00110028,Moderne,-1.089622,-0.120046765,-2.4066339,1.5069335,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,2.5749767000000006,1.5693263000000002,3.0989769,-1.1694975,1.3718703,1.1975145
4993,l0090048,Hinterm Deich,"Falke, Gustav",2,8,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,1899,"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]",l0090048,Moderne,-0.6117362,1.3386538,-3.8319724,0.031058023,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,3.3854976000000003,0.7519551999999999,1.5655614,0.74094486,1.174949,2.185918
88,l00100082,Hinterm Deich,"Falke, Gustav",2,8,"Die Perlenschnur. Eine Anthologie moderner Lyrik, hrsg. von Ludwig Gemmel, Buchschmuck von Hans Heise. Berlin und Leipzig 1898.",1898,"Gemmel, Ludwig",l00100082,Moderne,-0.6116531,1.2887082,-3.8208504,0.04826465,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,3.5454135,0.80880827,1.4588511,0.7509833,1.1815464,2.195131
4463,l0050188,Ich liebe dich.,Karl Beck.,4,8,Blüthenzweige deutscher Lyrik nach Goethe,1875,"Willatzen, Peter Johann",l0050188,Realismus,1.748998,-0.16347843,-3.5936089,0.6659284000000001,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-3.8171146,2.1301525000000003,-1.9475932,-1.8649616999999998,-1.2926823,0.39052659999999995
3320,l0030236,Ich liebe dich.,Karl Beck.,4,8,Dichtergrüsse. Neuere deutsche Lyrik,1861,"Polko, Elise",l0030236,Realismus,1.7151403000000005,-0.15340729,-3.593516,0.6738677,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-3.7735819999999998,2.1378912999999997,-1.9243383,-1.8551474,-1.2718431000000001,0.37343493
2504,l00170429,Im Dorfe,"Weigand, Wilhelm",3,5,Deutsche Lyrik seit Liliencron. Herausgegeben von Hans Bethge. Leipzig 1905,1905,"Bethge, Hans",l00170429,Moderne,2.0761018,-2.3164806,-4.0158424,1.3701366,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-1.7979508999999998,1.9752657,-0.5912638000000001,-1.4398148000000002,0.71510255,2.2114682
5204,l0090259,Im Dorfe,"Weigand, Wilhelm",3,5,Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.,1899,"Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]",l0090259,Moderne,2.1297872000000004,-2.027037,-3.917323,1.4720563,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-1.3538728,1.6042073000000001,-0.44665918,-0.95304185,0.6417389,2.4396136000000004
1549,l00130083,Im Himmel,"Herold, Franz",4,4,"Deutsche Lyrik von Heute und Morgen. Mit einer geschichtlichen Einleitung, hrsg. von Alexander Tille. Leipzig 1896.",1896,"Tille, Alexander",l00130083,Moderne,0.17685676,-2.455217,-3.4074410000000004,1.4271239,kein_sonett,0.0,0.0,3.0,-3.0,0.0,0.0,-0.46864566,0.31479406,0.8834298,0.12029953,0.885267,-0.022780064
